Year	Avg_AvgTemperature
201	-99.0
1995	52.97673713055389
1996	48.348380171740835
1997	37.28249510763201
1998	30.327075252133515
1999	34.153868682097425
2000	30.25645374034299
2001	39.14619744922062
2002	34.032092583845056
2003	34.28053849787433
2004	41.053457697380914
2005	47.777420878601674
2006	48.000330562901325
2007	64.60189617656226
2008	61.68450273224043
2009	68.41324931506819
2010	59.913363333985785
2011	61.29744618395316
2012	69.16082380325881
2013	69.38145743145726
2014	69.34383127527065
2015	70.11830601092885
2016	71.663864903268
2017	71.76192198115297
2018	69.36912368781351
2019	70.28376897614439
2020	74.8677981937092
