Capital	Country	Avg_AvgTemperature
Tirana	Albania	33.172922512410985
Algiers	Algeria	63.755439240232846
Buenos Aires	Argentina	62.304899633067144
Canberra	Australia	55.57968918627248
Vienna	Austria	51.04722641916694
Nassau	Bahamas	76.57303831624395
Manama	Bahrain	80.63559248866856
Dhaka	Bangladesh	10.10987951807226
Bridgetown	Barbados	77.00251697494743
Minsk	Belarus	41.82123272884281
Brussels	Belgium	51.057047269587684
Hamilton	Bermuda	66.97127603710837
La Paz	Bolivia	44.86714871573494
Sofia	Bulgaria	45.203345564429064
Bujumbura	Burundi	-65.39713845476541
Ottawa	Canada	43.94288128432612
Bangui	Central African Republic	67.01951219512179
Beijing	China	54.719976257284614
Zagreb	Croatia	46.928613059902794
Havana	Cuba	72.64080310880819
Nicosia	Cyprus	23.777476999292325
Prague	Czech Republic	47.60325922728247
Copenhagen	Denmark	46.960446794733286
Santo Domingo	Dominican Republic	65.21575822989762
Cairo	Egypt	71.95347507014904
Addis Ababa	Ethiopia	25.45525551371705
Helsinki	Finland	42.24399956831414
Paris	France	52.94068638031512
Libreville	Gabon	70.3977979274613
Banjul	Gambia	59.66582708528577
Tbilisi	Georgia	46.51603471904962
Athens	Greece	59.63387072243328
Guatemala City	Guatemala	56.91135333477217
Conakry	Guinea	49.389391323116925
Bissau	Guinea-Bissau	2.3921217353767306
Georgetown	Guyana	-22.101520236920056
Tegucigalpa	Honduras	68.53149487317785
Budapest	Hungary	51.099061083531026
Jakarta	Indonesia	35.98840798704796
Dublin	Ireland	49.06678178286205
Rome	Italy	60.22482192963531
Tokyo	Japan	61.06350097129274
Amman	Jordan	64.16010144614734
Nairobi	Kenya	23.452060975609776
Bishkek	Kyrgyzstan	51.37300000000035
Vientiane	Laos	79.96746168789109
Riga	Latvia	44.13642348370398
Beirut	Lebanon	69.39838117850216
Skopje	Macedonia	54.00780356179161
Antananarivo	Madagascar	63.445898985538584
Lilongwe	Malawi	-20.585543650096596
Kuala Lumpur	Malaysia	78.95302180012906
Nouakchott	Mauritania	73.41478705686403
Mexico City	Mexico	62.05048030221261
Rabat	Morocco	62.7334556442909
Maputo	Mozambique	62.78318631669572
Windhoek	Namibia	57.990341031729066
Managua	Nicaragua	71.8512817739321
Pyongyang	North Korea	48.21019857543733
Oslo	Norway	40.9233720447946
Muscat	Oman	21.888976113042418
Islamabad	Pakistan	65.36514840798709
Panama City	Panama	79.57879343837669
Lima	Peru	66.63344696473038
Manila	Philippines	81.54242391538949
Warsaw	Poland	47.77608461040342
Lisbon	Portugal	61.857770343189905
Doha	Qatar	82.2356248650983
Bucharest	Romania	52.36450464062177
Moscow	Russia	41.92599827325716
Riyadh	Saudi Arabia	78.67092596589663
Dakar	Senegal	75.55507230736022
Freetown	Sierra Leone	-9.820260911579975
Singapore	Singapore	81.65440319447444
Bratislava	Slovakia	51.4464601769912
Seoul	South Korea	52.87797323548456
Madrid	Spain	58.4405352903085
Paramaribo	Suriname	47.514911523521775
Stockholm	Sweden	45.093503129721704
Bern	Switzerland	49.0322793006693
Damascus	Syria	62.80611980572022
Bangkok	Thailand	72.46408588158758
Tunis	Tunisia	66.47864234837016
Ankara	Turkey	50.90390675588181
Kampala	Uganda	44.1425256341069
Abu Dhabi	United Arab Emirates	82.19249946039282
Tashkent	Uzbekistan	58.806345780272224
Caracas	Venezuela	78.326011872639
Hanoi	Vietnam	74.7373192315993
Lusaka	Zambia	55.90346164895155
